name,name2,date,confirmed,deaths,new,active,healed
Moscow_Russia,RU-MOW,2020.04.29,50646,546,2220,45490,4610
Moscow_oblast_Russia,RU-MOS,2020.04.29,10917,90,686,10438,389
Saint_Petersburg_Russia,RU-SPE,2020.04.29,3726,29,290,2989,708
Nizhegorodskaya_oblast_Russia,RU-NIZ,2020.04.29,1794,11,131,1606,177
Republic_of_Dagestan_Russia,RU-DA,2020.04.29,1231,12,84,1131,88
Murmansk_oblast_Russia,RU-MUR,2020.04.29,1126,4,70,1024,98
Krasnodarskiy_kray_Russia,RU-KDA,2020.04.29,951,20,63,723,208
Tula_oblast_Russia,RU-TUL,2020.04.29,873,6,90,788,79
Rostov_oblast_Russia,RU-ROS,2020.04.29,864,3,86,772,89
Ryazan_oblast_Russia,RU-RYA,2020.04.29,840,3,52,790,47
Leningradskaya_oblast_Russia,RU-LEN,2020.04.29,834,1,53,718,115
Briansk_oblast_Russia,RU-BRY,2020.04.29,783,4,115,616,163
Kaluga_oblast_Russia,RU-KLU,2020.04.29,772,12,66,728,32
Republic_of_Tatarstan_Russia,RU-TA,2020.04.29,752,1,55,673,78
Republic_of_Bashkortostan_Russia,RU-BA,2020.04.29,691,14,60,597,80
Ingushetia_republic_Russia,RU-IN,2020.04.29,679,19,46,558,102
Republic_of_North_Osetia_-_Alania_Russia,RU-SE,2020.04.29,670,2,121,596,72
Republic_of_Mordovia_Russia,RU-MO,2020.04.29,659,3,67,607,49
Kursk_oblast_Russia,RU-KRS,2020.04.29,658,4,68,588,66
Vladimir_oblast_Russia,RU-VLA,2020.04.29,634,5,37,597,32
Sverdlov_oblast_Russia,RU-SVE,2020.04.29,629,1,90,532,96
Komi_republic_Russia,RU-KO,2020.04.29,611,5,14,543,63
Krasnoyarskiy_kray_Russia,RU-KYA,2020.04.29,609,7,35,538,64
Republic_of_Chuvashia_Russia,RU-CU,2020.04.29,539,8,37,461,70
Tambov_oblast_Russia,RU-TAM,2020.04.29,537,1,44,459,77
Republic_of_Mariy_El_Russia,RU-ME,2020.04.29,535,2,35,259,274
Stavropolskiy_kray_Russia,RU-STA,2020.04.29,519,10,28,428,81
Tver_oblast_Russia,RU-TVE,2020.04.29,518,1,11,478,39
Orel_oblast_Russia,RU-ORL,2020.04.29,498,3,38,436,59
Habarovskiy_kray_Russia,RU-KHA,2020.04.29,498,5,31,440,53
Orenburg_oblast_Russia,RU-ORE,2020.04.29,493,3,37,382,108
Yaroslavl_oblast_Russia,RU-YAR,2020.04.29,483,4,27,436,43
Perm_oblast_Russia,RU-PER,2020.04.29,481,5,10,389,87
Kirov_oblast_Russia,RU-KIR,2020.04.29,466,4,43,421,41
Chechen_republic_Russia,RU-CE,2020.04.29,465,7,18,379,79
Voronezh_oblast_Russia,RU-VOR,2020.04.29,459,8,39,394,57
Novosibirsk_oblast_Russia,RU-NVS,2020.04.29,436,4,29,369,63
Cheliabinsk_oblast_Russia,RU-CHE,2020.04.29,427,1,19,377,49
Tumen_oblast_Russia,RU-TYU,2020.04.29,420,3,16,329,88
Republic_of_Kabardino-Balkaria_Russia,RU-KB,2020.04.29,412,2,45,360,50
Yamalo-Nenetskiy_AO_Russia,RU-YAN,2020.04.29,409,1,22,307,101
Smolensk_oblast_Russia,RU-SMO,2020.04.29,403,3,34,374,26
Saratov_oblast_Russia,RU-SAR,2020.04.29,392,2,33,341,49
Lipetsk_oblast_Russia,RU-LIP,2020.04.29,384,2,28,315,67
Ulianovsk_oblast_Russia,RU-ULY,2020.04.29,379,4,19,360,15
Primorskiy_kray_Russia,RU-PRI,2020.04.29,367,3,20,331,33
Hanty-Mansiyskiy_AO_Russia,RU-KHM,2020.04.29,366,2,28,297,67
Pensa_oblast_Russia,RU-PNZ,2020.04.29,364,7,42,261,96
Astrahan_oblast_Russia,RU-AST,2020.04.29,350,4,44,286,60
Altayskiy_kray_Russia,RU-ALT,2020.04.29,348,1,24,302,45
Republic_of_Karachaevo-Cherkessia_Russia,RU-KC,2020.04.29,330,2,16,314,14
Belgorod_oblast_Russia,RU-BEL,2020.04.29,327,3,28,286,38
Ivanovo_oblast_Russia,RU-IVA,2020.04.29,327,2,31,255,70
Samara_oblast_Russia,RU-SAM,2020.04.29,327,5,55,289,33
Kaliningrad_oblast_Russia,RU-KGD,2020.04.29,326,3,23,257,66
Volgograd_oblast_Russia,RU-VGG,2020.04.29,313,8,16,259,46
Novgorod_oblast_Russia,RU-NGR,2020.04.29,266,2,12,242,22
Republic_of_Buriatia_Russia,RU-BU,2020.04.29,245,2,18,160,83
Kamchatskiy_kray_Russia,RU-KAM,2020.04.29,241,0,38,227,14
Republic_of_Hakassia_Russia,RU-KK,2020.04.29,228,7,22,201,20
Republic_of_Udmurtia_Russia,RU-UD,2020.04.29,217,6,5,183,28
Kostroma_oblast_Russia,RU-KOS,2020.04.29,193,3,13,165,25
Arkhangelsk_oblast_Russia,RU-ARK,2020.04.29,185,1,4,139,45
Republic_of_Kalmykia_Russia,RU-KL,2020.04.29,183,3,16,143,37
Saha_republic_Russia,RU-SA,2020.04.29,183,2,17,156,25
Vologda_oblast_Russia,RU-VLG,2020.04.29,166,0,6,121,45
Republic_of_Adygeia_Russia,RU-AD,2020.04.29,154,3,4,114,37
Pskov_oblast_Russia,RU-PSK,2020.04.29,142,8,14,120,14
Jewish_Autonomous_oblast_Russia,RU-YEV,2020.04.29,118,0,5,109,9
Kemerovo_oblast_Russia,RU-KEM,2020.04.29,114,2,3,100,12
Zabaykalskiy_kray_Russia,RU-ZAB,2020.04.29,109,0,6,84,25
Irkutsk_oblast_Russia,RU-IRK,2020.04.29,101,4,6,60,37
Magadan_oblast_Russia,RU-MAG,2020.04.29,99,2,7,94,3
Omsk_oblast_Russia,RU-OMS,2020.04.29,87,2,5,63,22
Tomsk_oblast_Russia,RU-TOM,2020.04.29,87,0,6,68,19
Republic_of_Crimea_Russia,UA-43,2020.04.29,79,0,9,45,34
Sevastopol_Russia,UA-40,2020.04.29,77,0,40,68,9
Republic_of_Karelia_Russia,RU-KR,2020.04.29,63,0,1,56,7
Amursk_oblast_Russia,RU-AMU,2020.04.29,46,0,5,36,10
Kurgan_oblast_Russia,RU-KGN,2020.04.29,39,0,6,30,9
Republic_of_Tyva_Russia,RU-TY,2020.04.29,31,0,0,6,25
Nenetskiy_autonomous_oblast_Russia,RU-NEN,2020.04.29,30,0,1,29,1
Altay_republic_Russia,RU-AL,2020.04.29,30,0,3,30,0
Sakhalin_oblast_Russia,RU-SAK,2020.04.29,22,0,0,3,19
Chukotskiy_autonomous_oblast_Russia,RU-CHU,2020.04.29,17,0,0,16,1
