name,name2,date,confirmed,deaths,new,active,healed
Moscow_Russia,RU-MOW,2020.05.05,80115,816,5714,71429,7870
Moscow_oblast_Russia,RU-MOS,2020.05.05,15761,127,822,15058,576
Saint_Petersburg_Russia,RU-SPE,2020.05.05,5572,37,226,4067,1468
Nizhegorodskaya_oblast_Russia,RU-NIZ,2020.05.05,3026,16,174,2612,398
Murmansk_oblast_Russia,RU-MUR,2020.05.05,2101,4,127,1943,154
Republic_of_Dagestan_Russia,RU-DA,2020.05.05,2086,14,128,1747,325
Krasnodarskiy_kray_Russia,RU-KDA,2020.05.05,1437,21,97,973,443
Tula_oblast_Russia,RU-TUL,2020.05.05,1368,9,75,1202,157
Rostov_oblast_Russia,RU-ROS,2020.05.05,1353,11,90,1195,147
Kaluga_oblast_Russia,RU-KLU,2020.05.05,1309,12,92,1136,161
Briansk_oblast_Russia,RU-BRY,2020.05.05,1287,12,37,962,313
Sverdlov_oblast_Russia,RU-SVE,2020.05.05,1277,1,133,1120,156
Ryazan_oblast_Russia,RU-RYA,2020.05.05,1226,5,89,1132,89
Republic_of_Tatarstan_Russia,RU-TA,2020.05.05,1208,3,91,1056,149
Republic_of_North_Osetia_-_Alania_Russia,RU-SE,2020.05.05,1160,7,91,995,158
Leningradskaya_oblast_Russia,RU-LEN,2020.05.05,1149,3,53,888,258
Republic_of_Bashkortostan_Russia,RU-BA,2020.05.05,1136,14,34,867,255
Kursk_oblast_Russia,RU-KRS,2020.05.05,1062,4,65,924,134
Ingushetia_republic_Russia,RU-IN,2020.05.05,966,26,48,750,190
Vladimir_oblast_Russia,RU-VLA,2020.05.05,944,12,48,889,43
Republic_of_Mordovia_Russia,RU-MO,2020.05.05,923,5,56,797,121
Tambov_oblast_Russia,RU-TAM,2020.05.05,909,2,67,782,125
Krasnoyarskiy_kray_Russia,RU-KYA,2020.05.05,868,12,45,694,162
Republic_of_Chuvashia_Russia,RU-CU,2020.05.05,844,8,49,687,149
Yaroslavl_oblast_Russia,RU-YAR,2020.05.05,829,5,40,723,101
Stavropolskiy_kray_Russia,RU-STA,2020.05.05,824,18,36,618,188
Republic_of_Kabardino-Balkaria_Russia,RU-KB,2020.05.05,820,3,81,681,136
Yamalo-Nenetskiy_AO_Russia,RU-YAN,2020.05.05,820,3,108,686,131
Cheliabinsk_oblast_Russia,RU-CHE,2020.05.05,768,3,86,669,96
Orel_oblast_Russia,RU-ORL,2020.05.05,756,7,75,614,135
Republic_of_Mariy_El_Russia,RU-ME,2020.05.05,750,4,33,302,444
Novosibirsk_oblast_Russia,RU-NVS,2020.05.05,746,9,65,558,179
Saratov_oblast_Russia,RU-SAR,2020.05.05,737,3,78,628,106
Orenburg_oblast_Russia,RU-ORE,2020.05.05,728,4,28,507,217
Tver_oblast_Russia,RU-TVE,2020.05.05,709,8,29,518,183
Habarovskiy_kray_Russia,RU-KHA,2020.05.05,699,7,31,520,172
Komi_republic_Russia,RU-KO,2020.05.05,698,7,16,562,129
Voronezh_oblast_Russia,RU-VOR,2020.05.05,667,12,31,515,140
Perm_oblast_Russia,RU-PER,2020.05.05,648,9,18,421,218
Kirov_oblast_Russia,RU-KIR,2020.05.05,644,4,26,550,90
Primorskiy_kray_Russia,RU-PRI,2020.05.05,635,7,88,523,105
Chechen_republic_Russia,RU-CE,2020.05.05,615,8,32,301,306
Lipetsk_oblast_Russia,RU-LIP,2020.05.05,610,2,47,496,112
Samara_oblast_Russia,RU-SAM,2020.05.05,595,6,17,525,64
Tumen_oblast_Russia,RU-TYU,2020.05.05,589,4,28,399,186
Volgograd_oblast_Russia,RU-VGG,2020.05.05,578,12,62,457,109
Pensa_oblast_Russia,RU-PNZ,2020.05.05,569,8,30,368,193
Kaliningrad_oblast_Russia,RU-KGD,2020.05.05,566,11,42,432,123
Altayskiy_kray_Russia,RU-ALT,2020.05.05,555,3,21,443,109
Ulianovsk_oblast_Russia,RU-ULY,2020.05.05,544,4,16,451,89
Astrahan_oblast_Russia,RU-AST,2020.05.05,535,6,31,421,108
Smolensk_oblast_Russia,RU-SMO,2020.05.05,534,5,14,442,87
Belgorod_oblast_Russia,RU-BEL,2020.05.05,524,5,39,448,71
