name,name2,date,confirmed,deaths,new,active,healed
Moscow_Russia,RU-MOW,2020.05.04,74401,764,5795,66064,7573
Moscow_oblast_Russia,RU-MOS,2020.05.04,14939,111,803,14302,526
Saint_Petersburg_Russia,RU-SPE,2020.05.04,5346,37,317,4112,1197
Nizhegorodskaya_oblast_Russia,RU-NIZ,2020.05.04,2852,16,157,2453,383
Murmansk_oblast_Russia,RU-MUR,2020.05.04,1974,4,280,1816,154
Republic_of_Dagestan_Russia,RU-DA,2020.05.04,1958,13,160,1719,226
Krasnodarskiy_kray_Russia,RU-KDA,2020.05.04,1340,21,96,910,409
Tula_oblast_Russia,RU-TUL,2020.05.04,1293,8,75,1130,155
Rostov_oblast_Russia,RU-ROS,2020.05.04,1263,10,85,1130,123
Briansk_oblast_Russia,RU-BRY,2020.05.04,1250,12,102,944,294
Kaluga_oblast_Russia,RU-KLU,2020.05.04,1217,12,81,1077,128
Sverdlov_oblast_Russia,RU-SVE,2020.05.04,1144,1,53,1016,127
Ryazan_oblast_Russia,RU-RYA,2020.05.04,1137,5,61,1044,88
Republic_of_Tatarstan_Russia,RU-TA,2020.05.04,1117,3,86,984,130
Republic_of_Bashkortostan_Russia,RU-BA,2020.05.04,1102,14,80,903,185
Leningradskaya_oblast_Russia,RU-LEN,2020.05.04,1096,3,59,873,220
Republic_of_North_Osetia_-_Alania_Russia,RU-SE,2020.05.04,1069,6,79,977,86
Kursk_oblast_Russia,RU-KRS,2020.05.04,997,4,69,867,126
Ingushetia_republic_Russia,RU-IN,2020.05.04,918,26,53,706,186
Vladimir_oblast_Russia,RU-VLA,2020.05.04,896,12,66,841,43
Republic_of_Mordovia_Russia,RU-MO,2020.05.04,867,4,59,765,98
Tambov_oblast_Russia,RU-TAM,2020.05.04,842,2,53,726,114
Krasnoyarskiy_kray_Russia,RU-KYA,2020.05.04,823,11,42,655,157
Republic_of_Chuvashia_Russia,RU-CU,2020.05.04,795,8,64,653,134
Yaroslavl_oblast_Russia,RU-YAR,2020.05.04,789,5,79,684,100
Stavropolskiy_kray_Russia,RU-STA,2020.05.04,788,17,57,607,164
Republic_of_Kabardino-Balkaria_Russia,RU-KB,2020.05.04,739,2,105,615,122
Republic_of_Mariy_El_Russia,RU-ME,2020.05.04,717,4,49,297,416
Yamalo-Nenetskiy_AO_Russia,RU-YAN,2020.05.04,712,3,104,580,129
Orenburg_oblast_Russia,RU-ORE,2020.05.04,700,4,81,479,217
Cheliabinsk_oblast_Russia,RU-CHE,2020.05.04,682,3,51,605,74
Komi_republic_Russia,RU-KO,2020.05.04,682,7,6,564,111
Orel_oblast_Russia,RU-ORL,2020.05.04,681,7,19,551,123
Novosibirsk_oblast_Russia,RU-NVS,2020.05.04,681,9,61,522,150
Tver_oblast_Russia,RU-TVE,2020.05.04,680,6,19,559,115
Habarovskiy_kray_Russia,RU-KHA,2020.05.04,668,7,39,539,122
Saratov_oblast_Russia,RU-SAR,2020.05.04,659,3,74,557,99
Voronezh_oblast_Russia,RU-VOR,2020.05.04,636,11,34,494,131
Perm_oblast_Russia,RU-PER,2020.05.04,630,9,35,414,207
Kirov_oblast_Russia,RU-KIR,2020.05.04,618,4,33,534,80
Chechen_republic_Russia,RU-CE,2020.05.04,583,8,30,289,286
Samara_oblast_Russia,RU-SAM,2020.05.04,578,5,60,514,59
Lipetsk_oblast_Russia,RU-LIP,2020.05.04,563,2,43,452,109
Tumen_oblast_Russia,RU-TYU,2020.05.04,561,3,66,374,184
Primorskiy_kray_Russia,RU-PRI,2020.05.04,547,4,53,470,73
Pensa_oblast_Russia,RU-PNZ,2020.05.04,539,8,27,356,175
Altayskiy_kray_Russia,RU-ALT,2020.05.04,534,2,36,450,82
Ulianovsk_oblast_Russia,RU-ULY,2020.05.04,528,4,29,440,84
Kaliningrad_oblast_Russia,RU-KGD,2020.05.04,524,9,45,401,114
Smolensk_oblast_Russia,RU-SMO,2020.05.04,520,4,12,435,81
Volgograd_oblast_Russia,RU-VGG,2020.05.04,516,12,42,413,91
Astrahan_oblast_Russia,RU-AST,2020.05.04,504,4,17,399,101
Ivanovo_oblast_Russia,RU-IVA,2020.05.04,485,5,29,388,92
Belgorod_oblast_Russia,RU-BEL,2020.05.04,485,5,31,414,66
Hanty-Mansiyskiy_AO_Russia,RU-KHM,2020.05.04,467,4,18,328,135
Republic_of_Karachaevo-Cherkessia_Russia,RU-KC,2020.05.04,441,2,11,404,35
Republic_of_Buriatia_Russia,RU-BU,2020.05.04,373,4,18,264,105
Novgorod_oblast_Russia,RU-NGR,2020.05.04,372,2,24,327,43
Kamchatskiy_kray_Russia,RU-KAM,2020.05.04,339,0,28,303,36
Republic_of_Kalmykia_Russia,RU-KL,2020.05.04,321,5,38,263,53
Republic_of_Udmurtia_Russia,RU-UD,2020.05.04,314,10,43,241,63
Saha_republic_Russia,RU-SA,2020.05.04,311,4,29,264,43
Republic_of_Hakassia_Russia,RU-KK,2020.05.04,302,7,30,270,25
Arkhangelsk_oblast_Russia,RU-ARK,2020.05.04,299,1,39,217,81
Kostroma_oblast_Russia,RU-KOS,2020.05.04,266,3,13,203,60
Vologda_oblast_Russia,RU-VLG,2020.05.04,223,0,4,148,75
Zabaykalskiy_kray_Russia,RU-ZAB,2020.05.04,198,0,31,131,67
Pskov_oblast_Russia,RU-PSK,2020.05.04,196,8,1,169,19
Republic_of_Adygeia_Russia,RU-AD,2020.05.04,185,6,7,81,98
Irkutsk_oblast_Russia,RU-IRK,2020.05.04,177,4,27,111,62
Kemerovo_oblast_Russia,RU-KEM,2020.05.04,166,4,13,140,22
Omsk_oblast_Russia,RU-OMS,2020.05.04,161,3,34,127,31
Jewish_Autonomous_oblast_Russia,RU-YEV,2020.05.04,145,0,2,130,15
Tomsk_oblast_Russia,RU-TOM,2020.05.04,128,1,9,100,27
Magadan_oblast_Russia,RU-MAG,2020.05.04,116,2,0,79,35
Republic_of_Crimea_Russia,UA-43,2020.05.04,105,0,1,66,39
