name,name2,date,confirmed,deaths,new,active,healed
Moscow_Russia,RU-MOW,2020.05.02,62658,695,5358,55589,6374
Moscow_oblast_Russia,RU-MOS,2020.05.02,13314,109,807,12702,503
Saint_Petersburg_Russia,RU-SPE,2020.05.02,4734,33,323,3824,877
Nizhegorodskaya_oblast_Russia,RU-NIZ,2020.05.02,2443,14,320,2111,318
Republic_of_Dagestan_Russia,RU-DA,2020.05.02,1662,12,109,1480,170
Murmansk_oblast_Russia,RU-MUR,2020.05.02,1456,4,143,1336,116
Krasnodarskiy_kray_Russia,RU-KDA,2020.05.02,1162,20,79,823,319
Tula_oblast_Russia,RU-TUL,2020.05.02,1135,7,88,990,138
Rostov_oblast_Russia,RU-ROS,2020.05.02,1106,9,80,996,101
Kaluga_oblast_Russia,RU-KLU,2020.05.02,1065,12,59,958,95
Briansk_oblast_Russia,RU-BRY,2020.05.02,1062,9,73,792,261
Ryazan_oblast_Russia,RU-RYA,2020.05.02,1021,5,98,952,64
Sverdlov_oblast_Russia,RU-SVE,2020.05.02,1016,1,81,895,120
Leningradskaya_oblast_Russia,RU-LEN,2020.05.02,975,3,46,802,170
Republic_of_Tatarstan_Russia,RU-TA,2020.05.02,960,2,66,858,100
Republic_of_Bashkortostan_Russia,RU-BA,2020.05.02,935,14,92,745,176
Republic_of_North_Osetia_-_Alania_Russia,RU-SE,2020.05.02,921,4,85,831,86
Kursk_oblast_Russia,RU-KRS,2020.05.02,861,4,69,754,103
Ingushetia_republic_Russia,RU-IN,2020.05.02,814,23,45,639,152
Vladimir_oblast_Russia,RU-VLA,2020.05.02,775,7,60,731,37
Republic_of_Mordovia_Russia,RU-MO,2020.05.02,765,3,37,668,94
Krasnoyarskiy_kray_Russia,RU-KYA,2020.05.02,764,9,50,609,146
Tambov_oblast_Russia,RU-TAM,2020.05.02,729,2,54,617,110
Republic_of_Chuvashia_Russia,RU-CU,2020.05.02,676,8,49,537,131
Stavropolskiy_kray_Russia,RU-STA,2020.05.02,676,14,25,546,116
Komi_republic_Russia,RU-KO,2020.05.02,656,5,7,560,91
Yaroslavl_oblast_Russia,RU-YAR,2020.05.02,634,5,64,565,64
Republic_of_Mariy_El_Russia,RU-ME,2020.05.02,628,3,31,252,373
Tver_oblast_Russia,RU-TVE,2020.05.02,610,3,46,533,74
Habarovskiy_kray_Russia,RU-KHA,2020.05.02,595,7,29,489,99
Orel_oblast_Russia,RU-ORL,2020.05.02,594,6,32,500,88
Orenburg_oblast_Russia,RU-ORE,2020.05.02,591,4,22,397,190
Novosibirsk_oblast_Russia,RU-NVS,2020.05.02,569,7,43,457,105
Cheliabinsk_oblast_Russia,RU-CHE,2020.05.02,568,2,30,500,66
Voronezh_oblast_Russia,RU-VOR,2020.05.02,565,9,36,472,84
Yamalo-Nenetskiy_AO_Russia,RU-YAN,2020.05.02,557,1,43,438,118
Perm_oblast_Russia,RU-PER,2020.05.02,556,9,32,386,161
Republic_of_Kabardino-Balkaria_Russia,RU-KB,2020.05.02,544,2,45,451,91
Kirov_oblast_Russia,RU-KIR,2020.05.02,543,4,32,480,59
Saratov_oblast_Russia,RU-SAR,2020.05.02,535,3,48,459,73
Chechen_republic_Russia,RU-CE,2020.05.02,525,8,21,241,276
Smolensk_oblast_Russia,RU-SMO,2020.05.02,499,3,44,427,69
Pensa_oblast_Russia,RU-PNZ,2020.05.02,481,7,33,326,148
Lipetsk_oblast_Russia,RU-LIP,2020.05.02,481,2,35,390,89
Ulianovsk_oblast_Russia,RU-ULY,2020.05.02,461,4,32,379,78
Tumen_oblast_Russia,RU-TYU,2020.05.02,458,3,16,315,140
Primorskiy_kray_Russia,RU-PRI,2020.05.02,455,4,25,390,61
Altayskiy_kray_Russia,RU-ALT,2020.05.02,451,1,28,381,69
Kaliningrad_oblast_Russia,RU-KGD,2020.05.02,438,6,43,334,98
Ivanovo_oblast_Russia,RU-IVA,2020.05.02,434,3,31,346,85
Samara_oblast_Russia,RU-SAM,2020.05.02,433,5,41,375,53
Volgograd_oblast_Russia,RU-VGG,2020.05.02,432,9,46,335,88
Belgorod_oblast_Russia,RU-BEL,2020.05.02,419,5,36,367,47
Hanty-Mansiyskiy_AO_Russia,RU-KHM,2020.05.02,414,3,9,299,112
Republic_of_Karachaevo-Cherkessia_Russia,RU-KC,2020.05.02,412,2,14,395,15
Astrahan_oblast_Russia,RU-AST,2020.05.02,411,4,27,324,83
Republic_of_Buriatia_Russia,RU-BU,2020.05.02,325,4,28,225,96
Novgorod_oblast_Russia,RU-NGR,2020.05.02,322,2,25,289,31
Kamchatskiy_kray_Russia,RU-KAM,2020.05.02,286,0,5,264,22
Republic_of_Hakassia_Russia,RU-KK,2020.05.02,266,7,9,237,22
Saha_republic_Russia,RU-SA,2020.05.02,263,3,34,225,35
