name,name2,date,confirmed,deaths,new,active,healed
Moscow_Russia,RU-MOW,2020.04.30,53739,611,3093,47993,5135
Moscow_oblast_Russia,RU-MOS,2020.04.30,11710,93,793,11187,430
Saint_Petersburg_Russia,RU-SPE,2020.04.30,4062,29,336,3254,779
Nizhegorodskaya_oblast_Russia,RU-NIZ,2020.04.30,1944,12,150,1706,226
Republic_of_Dagestan_Russia,RU-DA,2020.04.30,1389,12,158,1265,112
Murmansk_oblast_Russia,RU-MUR,2020.04.30,1227,4,101,1125,98
Krasnodarskiy_kray_Russia,RU-KDA,2020.04.30,1017,20,66,746,251
Tula_oblast_Russia,RU-TUL,2020.04.30,965,7,92,862,96
Rostov_oblast_Russia,RU-ROS,2020.04.30,943,6,79,848,89
Briansk_oblast_Russia,RU-BRY,2020.04.30,901,8,118,671,222
Leningradskaya_oblast_Russia,RU-LEN,2020.04.30,885,1,51,769,115
Kaluga_oblast_Russia,RU-KLU,2020.04.30,885,12,113,829,44
Ryazan_oblast_Russia,RU-RYA,2020.04.30,880,3,40,830,47
Republic_of_Tatarstan_Russia,RU-TA,2020.04.30,823,1,71,739,83
Republic_of_Bashkortostan_Russia,RU-BA,2020.04.30,766,14,75,632,120
Republic_of_North_Osetia_-_Alania_Russia,RU-SE,2020.04.30,763,3,93,688,72
Kursk_oblast_Russia,RU-KRS,2020.04.30,726,4,68,647,75
Ingushetia_republic_Russia,RU-IN,2020.04.30,722,20,43,597,105
Sverdlov_oblast_Russia,RU-SVE,2020.04.30,703,1,74,600,102
Republic_of_Mordovia_Russia,RU-MO,2020.04.30,698,3,39,623,72
Vladimir_oblast_Russia,RU-VLA,2020.04.30,669,5,35,632,32
Krasnoyarskiy_kray_Russia,RU-KYA,2020.04.30,666,8,57,594,64
Komi_republic_Russia,RU-KO,2020.04.30,621,5,10,552,64
Tambov_oblast_Russia,RU-TAM,2020.04.30,612,2,75,517,93
Republic_of_Chuvashia_Russia,RU-CU,2020.04.30,586,8,47,481,97
Republic_of_Mariy_El_Russia,RU-ME,2020.04.30,566,2,31,260,304
Stavropolskiy_kray_Russia,RU-STA,2020.04.30,562,14,43,467,81
Habarovskiy_kray_Russia,RU-KHA,2020.04.30,536,5,38,458,73
Tver_oblast_Russia,RU-TVE,2020.04.30,535,3,17,481,51
Orel_oblast_Russia,RU-ORL,2020.04.30,525,5,27,453,67
Orenburg_oblast_Russia,RU-ORE,2020.04.30,520,3,27,398,119
Yaroslavl_oblast_Russia,RU-YAR,2020.04.30,506,4,23,459,43
Perm_oblast_Russia,RU-PER,2020.04.30,500,7,19,402,91
Cheliabinsk_oblast_Russia,RU-CHE,2020.04.30,494,1,67,439,54
Kirov_oblast_Russia,RU-KIR,2020.04.30,493,4,27,447,42
Voronezh_oblast_Russia,RU-VOR,2020.04.30,493,9,34,410,74
Chechen_republic_Russia,RU-CE,2020.04.30,485,7,20,351,127
Novosibirsk_oblast_Russia,RU-NVS,2020.04.30,471,4,35,389,78
