name,name2,date,confirmed,deaths,new,active,healed
Moscow_Russia,RU-MOW,2020.05.01,57300,658,3561,50876,5766
Moscow_oblast_Russia,RU-MOS,2020.05.01,12507,109,797,11940,458
Saint_Petersburg_Russia,RU-SPE,2020.05.01,4411,33,349,3599,779
Nizhegorodskaya_oblast_Russia,RU-NIZ,2020.05.01,2123,14,179,1820,289
Republic_of_Dagestan_Russia,RU-DA,2020.05.01,1553,12,164,1427,114
Murmansk_oblast_Russia,RU-MUR,2020.05.01,1313,4,86,1196,113
Krasnodarskiy_kray_Russia,RU-KDA,2020.05.01,1083,20,66,786,277
Tula_oblast_Russia,RU-TUL,2020.05.01,1047,7,82,919,121
Rostov_oblast_Russia,RU-ROS,2020.05.01,1026,9,83,919,98
Kaluga_oblast_Russia,RU-KLU,2020.05.01,1006,12,121,940,54
Briansk_oblast_Russia,RU-BRY,2020.05.01,989,9,88,740,240
Sverdlov_oblast_Russia,RU-SVE,2020.05.01,935,1,232,832,102
Leningradskaya_oblast_Russia,RU-LEN,2020.05.01,929,3,44,800,126
Ryazan_oblast_Russia,RU-RYA,2020.05.01,923,5,43,854,64
Republic_of_Tatarstan_Russia,RU-TA,2020.05.01,894,1,71,805,88
Republic_of_Bashkortostan_Russia,RU-BA,2020.05.01,843,14,77,662,167
Republic_of_North_Osetia_-_Alania_Russia,RU-SE,2020.05.01,836,4,73,748,84
Kursk_oblast_Russia,RU-KRS,2020.05.01,792,4,66,694,94
Ingushetia_republic_Russia,RU-IN,2020.05.01,769,22,47,618,129
Republic_of_Mordovia_Russia,RU-MO,2020.05.01,728,3,30,639,86
Vladimir_oblast_Russia,RU-VLA,2020.05.01,715,7,46,671,37
Krasnoyarskiy_kray_Russia,RU-KYA,2020.05.01,714,9,48,581,124
Tambov_oblast_Russia,RU-TAM,2020.05.01,675,2,63,567,106
Stavropolskiy_kray_Russia,RU-STA,2020.05.01,651,14,89,536,101
Komi_republic_Russia,RU-KO,2020.05.01,649,5,28,580,64
Republic_of_Chuvashia_Russia,RU-CU,2020.05.01,627,8,41,502,117
Republic_of_Mariy_El_Russia,RU-ME,2020.05.01,597,3,31,262,332
Yaroslavl_oblast_Russia,RU-YAR,2020.05.01,570,5,64,502,63
Orenburg_oblast_Russia,RU-ORE,2020.05.01,569,3,49,387,179
Habarovskiy_kray_Russia,RU-KHA,2020.05.01,566,5,30,488,73
Tver_oblast_Russia,RU-TVE,2020.05.01,564,3,29,487,74
Orel_oblast_Russia,RU-ORL,2020.05.01,562,5,37,475,82
Cheliabinsk_oblast_Russia,RU-CHE,2020.05.01,538,1,44,480,57
Voronezh_oblast_Russia,RU-VOR,2020.05.01,529,9,36,446,74
Novosibirsk_oblast_Russia,RU-NVS,2020.05.01,526,5,55,441,80
Perm_oblast_Russia,RU-PER,2020.05.01,524,7,24,422,95
Yamalo-Nenetskiy_AO_Russia,RU-YAN,2020.05.01,514,1,51,397,116
Kirov_oblast_Russia,RU-KIR,2020.05.01,511,4,18,461,46
Chechen_republic_Russia,RU-CE,2020.05.01,504,7,19,266,231
Republic_of_Kabardino-Balkaria_Russia,RU-KB,2020.05.01,499,2,43,419,78
Saratov_oblast_Russia,RU-SAR,2020.05.01,487,2,49,433,52
Smolensk_oblast_Russia,RU-SMO,2020.05.01,455,3,26,425,27
Pensa_oblast_Russia,RU-PNZ,2020.05.01,448,7,44,309,132
Lipetsk_oblast_Russia,RU-LIP,2020.05.01,446,2,31,355,89
Tumen_oblast_Russia,RU-TYU,2020.05.01,442,3,7,330,109
Primorskiy_kray_Russia,RU-PRI,2020.05.01,430,4,27,367,59
Ulianovsk_oblast_Russia,RU-ULY,2020.05.01,429,4,23,360,65
Altayskiy_kray_Russia,RU-ALT,2020.05.01,423,1,41,367,55
Hanty-Mansiyskiy_AO_Russia,RU-KHM,2020.05.01,405,3,18,322,80
Ivanovo_oblast_Russia,RU-IVA,2020.05.01,403,3,44,321,79
Republic_of_Karachaevo-Cherkessia_Russia,RU-KC,2020.05.01,398,2,46,382,14
Kaliningrad_oblast_Russia,RU-KGD,2020.05.01,395,5,37,317,73
Samara_oblast_Russia,RU-SAM,2020.05.01,392,5,25,335,52
