ID,region_name,area,population_2020,capital,adm_div,okato,name2
76,Челябинская область,88529,3466369,Челябинск,24 района и 23 города,74,RU-CHE
77,Ярославская область,36177,1253389,Ярославль,17 районов и 11 городов,78,RU-YAR
78,Москва,2561,12678079,Москва,12 административных округов,45,RU-MOW
79,Санкт-Петербург,1403,5398064,Санкт-Петербург,18 районов,40,RU-SPE
80,Севастополь,864,449138,Севастополь,4 района,67,UA-40
81,Еврейская АО,36271,158305,Биробиджан,5 районов и 1 город,99,RU-YEV
82,Ненецкий АО,176810,44111,Нарьян-Мар,1 район и 1 город,11,RU-NEN
83,Ханты-Мансийский АО — Югра,534801,1674676,Ханты-Мансийск,9 районов и 14 городов,71,RU-KHM
84,Чукотский АО,721481,50288,Анадырь,8 районов и 1 город,77,RU-CHU
85,Ямало-Ненецкий АО,769250,544444,Салехард,7 районов и 8 городов,71,RU-YAN
