Country_Region,Province_State,World_Bank_Name,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18,Completeness_of_birth_reg_2009-18,Completeness_of_death_reg_2008-16,iso_alpha3
Estonia,,Estonia,6.7,75.4,22.7,1185.3,1987.7,0.2,3.5,6.5,65.0,100.0,100.0,EST
Eswatini,,Eswatini,7.7,69.3,9.9,220.6,663.3,13.8,0.1,2.0,0.2,54.0,,SWZ
Ethiopia,,Ethiopia,4.0,27.6,37.4,27.5,69.5,15.3,0.1,0.8,0.5,2.7,,ETH
Fiji,,Fiji,3.5,63.9,20.6,179.9,313.2,3.1,0.8,2.9,5.4,,100.0,FJI
Finland,,Finland,9.5,77.4,20.4,4117.3,4112.1,0.0,3.8,14.7,76.3,100.0,100.0,FIN
France,,France,11.5,82.9,9.8,4263.4,4782.3,0.0,3.2,9.7,58.6,100.0,100.0,FRA
Gabon,,Gabon,3.1,64.6,22.5,220.4,555.6,0.9,0.4,2.6,,89.6,,GAB
Gambia,,"Gambia, The",4.4,18.6,23.6,20.9,74.3,43.8,0.1,1.6,1.8,72.0,,GMB
Georgia,,Georgia,8.4,36.6,55.6,308.0,797.2,2.3,5.1,4.1,130.4,100.0,98.0,GEO
Germany,,Germany,11.1,84.7,12.4,4714.3,5463.3,,4.2,13.2,108.0,100.0,100.0,DEU
Ghana,,Ghana,4.4,38.4,37.8,67.5,189.4,12.8,0.2,1.2,,70.5,,GHA
Greece,,Greece,8.5,60.7,34.3,1510.7,2261.2,0.3,4.6,3.4,163.5,100.0,100.0,GRC
Grenada,,Grenada,5.2,41.3,57.8,516.4,745.1,0.9,1.4,3.1,12.6,,100.0,GRD
Guatemala,,Guatemala,5.8,37.2,53.3,241.4,462.4,0.9,0.4,0.9,3.4,96.0,92.0,GTM
Guinea,,Guinea,5.5,12.3,49.8,37.5,107.7,27.2,0.1,0.4,,62.0,,GIN
Guinea-Bissau,,Guinea-Bissau,6.1,44.3,35.4,39.1,98.0,20.3,0.2,1.4,,24.0,,XXX
Guyana,,Guyana,4.2,58.9,35.1,192.3,332.7,5.9,0.8,1.3,8.8,89.0,81.0,GUY
Haiti,,Haiti,5.4,15.3,41.7,37.7,95.4,38.4,0.2,0.7,5.9,84.8,,HTI
Honduras,,Honduras,8.4,45.9,45.0,199.6,400.3,3.1,0.3,0.9,13.7,93.6,17.0,HND
Hungary,,Hungary,7.4,65.9,29.7,942.6,1963.2,0.0,3.2,6.6,55.7,100.0,100.0,HUN
Iceland,,Iceland,8.3,81.5,16.9,5063.6,4245.1,0.0,4.0,15.7,101.6,100.0,100.0,ISL
India,,India,3.7,25.4,64.6,62.7,241.5,1.0,0.8,2.1,6.8,79.7,,IND
Indonesia,,Indonesia,3.1,44.7,37.3,111.6,362.7,0.4,0.4,2.1,,72.0,,IDN
Iran,,"Iran, Islamic Rep.",8.1,54.5,38.8,415.4,1563.8,0.0,1.1,1.9,5.0,99.0,,IRN
Iraq,,Iraq,3.3,21.1,78.5,152.6,493.7,0.4,0.8,1.7,7.6,99.0,65.0,IRQ
Ireland,,Ireland,7.4,72.1,13.0,4758.6,5299.7,0.0,3.1,14.3,72.0,100.0,100.0,IRL
Israel,,Israel,7.3,62.5,23.0,2837.1,2843.0,1.5,3.2,5.2,75.6,100.0,100.0,ISR
